Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,9/25/2022,565,N87512,ORD,7:00,6:51,125,120,-9,7:08,17,0,0,0,0,0
UA,9/25/2022,1646,N808UA,DEN,16:03,16:07,238,225,4,16:19,12,0,0,0,0,0
UA,9/25/2022,1768,N429UA,IAD,19:36,20:46,78,66,70,20:58,12,0,0,0,0,58
UA,9/26/2019,1658,N17730,ORD,15:45,15:38,140,120,-7,15:49,11,0,0,0,0,0
UA,9/26/2019,2391,N53442,ORD,7:30,7:24,142,139,-6,7:48,24,0,0,0,0,0
UA,9/26/2021,2065,N23707,IAD,8:00,7:54,82,65,-6,8:04,10,0,0,0,0,0
UA,9/26/2021,2080,N890UA,ORD,6:45,6:38,137,117,-7,6:50,12,0,0,0,0,0
UA,9/26/2022,565,N898UA,ORD,7:00,6:50,125,123,-10,7:05,15,0,0,0,0,0
UA,9/26/2022,1646,N835UA,DEN,16:03,16:15,238,226,12,16:25,10,0,0,0,0,0
UA,9/26/2022,1768,N455UA,IAD,19:36,19:27,78,71,-9,19:35,8,0,0,0,0,0
UA,9/27/2019,1658,,ORD,15:45,0:00,140,0,0,0:00,0,0,0,0,0,0
UA,9/27/2019,2391,N69813,ORD,7:30,7:15,142,122,-15,7:28,13,0,0,0,0,0
UA,9/27/2021,2065,N54711,IAD,8:00,8:02,82,67,2,8:15,13,0,0,0,0,0
UA,9/27/2021,2080,N811UA,ORD,6:45,6:41,137,112,-4,6:50,9,0,0,0,0,0
UA,9/27/2022,565,N833UA,ORD,7:00,6:53,125,121,-7,7:03,10,0,0,0,0,0
UA,9/27/2022,1646,N824UA,DEN,16:03,15:52,238,229,-11,16:03,11,0,0,0,0,0
UA,9/27/2022,1768,N410UA,IAD,19:36,19:18,78,71,-18,19:30,12,0,0,0,0,0
UA,9/28/2019,1483,N830UA,ORD,13:00,12:57,127,117,-3,13:07,10,0,0,0,0,0
UA,9/28/2019,1658,N15710,ORD,15:45,16:26,140,112,41,16:34,8,0,0,0,0,0
UA,9/28/2019,2391,,ORD,6:51,0:00,142,0,0,0:00,0,0,0,0,0,0
UA,9/28/2021,2065,N17752,IAD,8:00,7:50,82,90,-10,8:03,13,0,0,0,0,0
UA,9/28/2021,2080,N848UA,ORD,6:45,6:39,137,115,-6,6:48,9,0,0,0,0,0
UA,9/28/2022,565,N872UA,ORD,7:00,6:53,125,116,-7,7:10,17,0,0,0,0,0
UA,9/28/2022,1646,N807UA,DEN,16:03,15:59,238,228,-4,16:09,10,0,0,0,0,0
UA,9/28/2022,1768,N489UA,IAD,19:36,19:27,78,73,-9,19:39,12,0,0,0,0,0
UA,9/29/2019,1658,N76529,ORD,15:45,16:31,140,122,46,16:42,11,0,0,0,0,28
UA,9/29/2019,1720,N846UA,ORD,10:00,9:59,127,127,-1,10:16,17,0,0,0,0,0
UA,9/29/2019,2391,N898UA,ORD,7:30,7:22,142,119,-8,7:32,10,0,0,0,0,0
UA,9/29/2021,2065,N14231,IAD,8:00,10:22,82,63,142,10:31,9,123,0,0,0,0
UA,9/29/2021,2080,N877UA,ORD,6:45,6:39,137,127,-6,6:48,9,0,0,0,0,0
UA,9/29/2022,565,N485UA,ORD,7:00,6:50,125,126,-10,7:05,15,0,0,0,0,0
UA,9/29/2022,1646,N813UA,DEN,16:03,15:58,238,226,-5,16:09,11,0,0,0,0,0
UA,9/29/2022,1768,N478UA,IAD,19:36,19:31,78,69,-5,19:42,11,0,0,0,0,0
UA,9/30/2019,1658,N38727,ORD,15:45,15:34,140,128,-11,15:47,13,0,0,0,0,0
UA,9/30/2019,2391,N69888,ORD,7:30,7:21,142,135,-9,7:57,36,0,0,0,0,0
UA,9/30/2021,2065,N17752,IAD,8:00,7:56,82,62,-4,8:05,9,0,0,0,0,0
UA,9/30/2021,2080,N848UA,ORD,6:45,6:37,137,122,-8,6:50,13,0,0,0,0,0
